label,value
cas_C_st,0
cas_m_0,379661.3
cas_Pi_min,40
cas_Pi_o_0,0
cas_Pi_o_max,40
cas_R,287
cas_T0,288.15
cmp_a,43.77
cmp_b,1.72
cmp_c,-0.73
cmp_d,0.9
cmp_eta,0
cmp_P_max,60
cmp_P_min,30
exp_a,0.77
exp_b,1.4
exp_P_max,321
exp_P_min,100
