timestep,mkt_C_el,mkt_C_fuel,mkt_C_el1
268,13.93,20,13.93
269,27.07,20,27.07
270,25.7,20,25.7
271,6.78,20,6.78
272,6.73,20,6.73
273,32.17,20,32.17
274,37.35,20,37.35
275,32.85,20,32.85
276,37.62,20,37.62
277,13.48,20,13.48
278,13.01,20,13.01
279,11.77,20,11.77
280,1.81,20,1.81
281,19.91,20,19.91
282,19.03,20,19.03
283,0.11,20,0.11
284,8.98,20,8.98
285,0.04,20,0.04
286,0.9,20,0.9
287,46.09,20,46.09
288,39.66,20,39.66
289,39.88,20,39.88
290,48.39,20,48.39
291,57.93,20,57.93
292,39.94,20,39.94
293,25.91,20,25.91
294,43.31,20,43.31
295,40.15,20,40.15
296,62.9,20,62.9
297,60.71,20,60.71
298,37.3,20,37.3
299,64.41,20,64.41
300,49.09,20,49.09
301,26,20,26
302,45.22,20,45.22
303,27.86,20,27.86
304,33.14,20,33.14
305,27.6,20,27.6
306,51.62,20,51.62
307,26.71,20,26.71
308,48.78,20,48.78
309,25.95,20,25.95
310,39.92,20,39.92
311,33.11,20,33.11
312,50.84,20,50.84
313,29.56,20,29.56
314,30.34,20,30.34
315,42.94,20,42.94
316,31,20,31
317,29.37,20,29.37
318,68,20,68
319,53.7,20,53.7
320,60.02,20,60.02
321,31.14,20,31.14
322,55.88,20,55.88
323,54.94,20,54.94
324,52.54,20,52.54
325,36.98,20,36.98
326,65.94,20,65.94
327,29.15,20,29.15
328,60.09,20,60.09
329,67.51,20,67.51
330,66.06,20,66.06
331,55.01,20,55.01
332,66.95,20,66.95
333,29.65,20,29.65
334,70.68,20,70.68
335,51.86,20,51.86
336,45.14,20,45.14
337,56.49,20,56.49
338,30.51,20,30.51
339,29.92,20,29.92
340,62.96,20,62.96
341,50.75,20,50.75
342,54.16,20,54.16
343,62.65,20,62.65
344,32.33,20,32.33
345,39.94,20,39.94
346,29.54,20,29.54
347,29.63,20,29.63
348,55.67,20,55.67
349,35.45,20,35.45
350,30.65,20,30.65
351,47,20,47
352,30.66,20,30.66
353,54.35,20,54.35
354,52.1,20,52.1
355,58.07,20,58.07
356,32.53,20,32.53
357,55.47,20,55.47
358,50.51,20,50.51
359,61.29,20,61.29
360,53.9,20,53.9
361,21.42,20,21.42
362,50.09,20,50.09
363,50.07,20,50.07
364,39.11,20,39.11
365,51.57,20,51.57
366,46,20,46
367,25.54,20,25.54
368,47.27,20,47.27
369,33.35,20,33.35
370,30.06,20,30.06
371,32.2,20,32.2
372,25.6,20,25.6
373,48.34,20,48.34
374,28.66,20,28.66
375,50.84,20,50.84
376,28.92,20,28.92
377,51.52,20,51.52
378,47.79,20,47.79
379,50.05,20,50.05
380,52.2,20,52.2
381,29.98,20,29.98
382,51.45,20,51.45
383,33.24,20,33.24
384,52.76,20,52.76
385,33.33,20,33.33
386,49.41,20,49.41
387,46.86,20,46.86
388,43.74,20,43.74
389,48.97,20,48.97
390,46.17,20,46.17
391,47.91,20,47.91
392,49.43,20,49.43
393,42.32,20,42.32
394,27.54,20,27.54
395,48.68,20,48.68
396,47.96,20,47.96
