index,value
a0,64.06
a,1.71
b,-1.04
cav_Pi_0,40
cav_Pi_min,40
cav_Pi_max,60
c1,0.07
c2,0.11
cav_m_0,428734.4
cmp_P_max,60
cmp_P_min,20
exp_P_max,321
exp_P_min,100
cav_Pi_o_min,0
cav_Pi_o_max,20
